t_rel_s,t_epoch,phase,sweep_idx,a_cmd_us,b_cmd_us,servo1_raw,servo2_raw,voltage_v,current_a,power_w,Fx,Fy,Fz,Tx,Ty,Tz,thrust_N,torque_Nm,rpm
0.0,1784880117.98674,,,,,,,,,,0.20431,-0.02104,0.27123,0.00557,0.01133,-0.00597,-0.27123,-0.00597,44.0
0.02,1784880118.00674,,,,,,,,,,-0.19819,-0.01504,0.21603,0.00414,-0.01675,-0.00548,-0.21603,-0.00548,44.0
0.04,1784880118.02674,,,,,,,,,,0.44128,-0.06074,0.35375,0.00782,0.02992,-0.00464,-0.35375,-0.00464,44.0
0.06,1784880118.04674,,,,,,,,,,-0.06649,0.11239,0.27798,-0.01078,-0.00684,-0.00113,-0.27798,-0.00113,44.0
0.08,1784880118.06674,,,,,,,,,,-0.43355,0.13086,0.23668,-0.00365,-0.03857,-0.00634,-0.23668,-0.00634,44.0
0.1,1784880118.08674,,,,,,,,,,0.19076,0.03721,0.30709,0.00098,0.00892,-0.0033,-0.30709,-0.0033,44.0
0.12,1784880118.10674,,,,,,,,,,0.19763,0.13594,0.26887,-0.0069,0.00648,-0.00248,-0.26887,-0.00248,44.0
0.14,1784880118.12674,,,,,,,,,,0.15927,-0.02219,0.26446,0.0057,0.00738,-0.00415,-0.26446,-0.00415,44.0
0.16,1784880118.14674,,,,,,,,,,-0.1197,-0.00551,0.31833,0.00847,-0.01792,-0.00866,-0.31833,-0.00866,44.0
0.18,1784880118.16674,,,,,,,,,,-0.06218,0.11341,0.2516,-0.00408,-0.01376,-0.00697,-0.2516,-0.00697,44.0
0.2,1784880118.18674,,,,,,,,,,0.00386,0.06597,0.2433,0.001,-0.00527,-0.00564,-0.2433,-0.00564,44.0
0.22,1784880118.20674,,,,,,,,,,0.05686,0.04339,0.21865,0.00247,-0.00397,-0.00213,-0.21865,-0.00213,44.0
0.24,1784880118.22674,,,,,,,,,,0.17012,0.01063,0.29897,0.00498,0.01193,-0.00483,-0.29897,-0.00483,44.0
0.26,1784880118.24674,,,,,,,,,,0.17543,-0.00293,0.21265,0.00212,0.00833,-0.00464,-0.21265,-0.00464,44.0
0.28,1784880118.26674,,,,,,,,,,-0.17568,0.12115,0.06203,-0.00523,-0.01975,-0.00532,-0.06203,-0.00532,44.0
0.3,1784880118.28674,,,,,,,,,,0.00341,0.046,0.15126,0.001,-0.00153,-0.00297,-0.15126,-0.00297,44.0
0.32,1784880118.30674,,,,,,,,,,0.11092,0.1329,0.15602,-0.00674,0.00554,-0.00499,-0.15602,-0.00499,44.0
0.34,1784880118.32674,,,,,,,,,,-0.19806,0.05149,0.16264,0.00235,-0.01657,-0.00464,-0.16264,-0.00464,44.0
0.36,1784880118.34674,,,,,,,,,,0.03662,0.00984,0.25583,0.0028,-5e-05,-0.00364,-0.25583,-0.00364,44.0
0.38,1784880118.36674,,,,,,,,,,0.34224,-0.09149,0.18321,0.00833,0.02579,-0.00097,-0.18321,-0.00097,44.0
0.4,1784880118.38674,,,,,,,,,,0.47922,-0.25101,0.3422,0.02537,0.03338,-0.00801,-0.3422,-0.00801,44.0
0.42,1784880118.40674,,,,,,,,,,0.19938,-0.02312,0.27198,0.00755,0.01394,-0.0053,-0.27198,-0.0053,44.0
0.44,1784880118.42674,,,,,,,,,,0.14568,-0.00269,0.1905,0.00598,0.00668,-0.00281,-0.1905,-0.00281,44.0
0.46,1784880118.44674,,,,,,,,,,0.18667,0.02424,0.20538,-0.00106,0.01189,-0.00248,-0.20538,-0.00248,44.0
0.48,1784880118.46674,,,,,,,,,,0.25225,-0.07402,0.30601,0.00835,0.01554,-0.00666,-0.30601,-0.00666,44.0
0.5,1784880118.48674,,,,,,,,,,0.16307,0.07383,0.16056,-0.0046,0.01017,-0.00162,-0.16056,-0.00162,44.0
0.52,1784880118.50674,,,,,,,,,,0.2749,-0.05661,0.17965,0.0067,0.01656,-0.00299,-0.17965,-0.00299,44.0
0.54,1784880118.52674,,,,,,,,,,0.08708,-0.04069,0.26576,0.00863,0.0038,-0.00515,-0.26576,-0.00515,44.0
0.56,1784880118.54674,,,,,,,,,,0.28236,0.08326,0.35174,-0.00743,0.01526,-0.00046,-0.35174,-0.00046,44.0
0.58,1784880118.56674,,,,,,,,,,0.02971,-0.00069,0.26349,0.00537,-0.00373,-0.0045,-0.26349,-0.0045,44.0
0.6,1784880118.58674,,,,,,,,,,0.13052,-0.11932,0.0829,0.01517,0.00793,-0.00381,-0.0829,-0.00381,44.0
0.62,1784880118.60674,,,,,,,,,,-0.00757,0.05661,0.15455,-0.00278,-0.00822,-0.00432,-0.15455,-0.00432,44.0
0.64,1784880118.62674,,,,,,,,,,-0.19868,0.08288,0.20389,-0.00653,-0.02285,-0.00448,-0.20389,-0.00448,44.0
0.66,1784880118.64674,,,,,,,,,,0.05255,0.07893,0.25312,-0.00151,0.00098,-0.00364,-0.25312,-0.00364,44.0
0.68,1784880118.66674,,,,,,,,,,-0.34027,0.13551,0.13522,-0.0089,-0.02829,-0.00264,-0.13522,-0.00264,44.0
0.7,1784880118.68674,,,,,,,,,,-0.00986,0.01353,0.26711,-0.00216,-0.00484,-0.00332,-0.26711,-0.00332,44.0
0.72,1784880118.70674,,,,,,,,,,0.04723,-0.06011,0.14862,0.01035,0.00019,-0.00683,-0.14862,-0.00683,44.0
0.74,1784880118.72674,,,,,,,,,,0.26094,-0.01416,0.29201,0.00159,0.01761,-0.0033,-0.29201,-0.0033,44.0
0.76,1784880118.74674,,,,,,,,,,-0.11079,0.1121,0.23019,0.00031,-0.01412,-0.00499,-0.23019,-0.00499,44.0
0.78,1784880118.76674,,,,,,,,,,0.1257,0.05509,0.31538,-0.0079,0.01,0.00038,-0.31538,0.00038,44.0
0.8,1784880118.78674,,,,,,,,,,-0.1841,0.11995,0.10795,-0.00367,-0.01996,-0.00518,-0.10795,-0.00518,44.0
0.82,1784880118.80674,,,,,,,,,,-0.15774,0.16573,0.04435,-0.00923,-0.0119,-0.00313,-0.04435,-0.00313,44.0
0.84,1784880118.82674,,,,,,,,,,0.13853,-0.03764,0.11927,0.00872,0.00693,-0.00415,-0.11927,-0.00415,44.0
0.86,1784880118.84674,,,,,,,,,,0.30967,-0.02735,0.23587,0.00745,0.02007,-0.00364,-0.23587,-0.00364,44.0
0.88,1784880118.86674,,,,,,,,,,0.16595,0.25796,0.22714,-0.02617,0.01199,0.00154,-0.22714,0.00154,44.0
0.9,1784880118.88674,,,,,,,,,,0.04897,0.07223,0.40238,-0.00826,0.00166,-0.00083,-0.40238,-0.00083,44.0
0.92,1784880118.90674,,,,,,,,,,0.06514,-0.0355,0.34805,0.00735,0.00673,-0.00483,-0.34805,-0.00483,44.0
0.94,1784880118.92674,,,,,,,,,,0.01543,-0.05661,0.32307,0.00612,-0.00285,-0.00381,-0.32307,-0.00381,44.0
0.96,1784880118.94674,,,,,,,,,,0.07982,-0.05003,0.20276,0.00965,0.0034,-0.00515,-0.20276,-0.00515,44.0
0.98,1784880118.96674,,,,,,,,,,0.14053,0.14242,0.25827,-0.00878,0.01089,-0.00464,-0.25827,-0.00464,44.0
1.0,1784880118.98674,,,,,,,,,,-0.15682,0.23149,0.1807,-0.01086,-0.01894,-0.00448,-0.1807,-0.00448,44.0
1.02,1784880119.00674,,,,,,,,,,-0.19223,0.02483,0.14084,0.00453,-0.01827,-0.00532,-0.14084,-0.00532,44.0
1.04,1784880119.02674,,,,,,,,,,-0.11301,0.17593,0.20272,-0.00759,-0.0153,-0.00632,-0.20272,-0.00632,44.0
1.06,1784880119.04674,,,,,,,,,,-0.02234,0.08388,0.24322,-0.00216,-0.0066,-0.00481,-0.24322,-0.00481,44.0
1.08,1784880119.06674,,,,,,,,,,0.00589,-0.04685,0.22935,0.00533,-0.00413,-0.00448,-0.22935,-0.00448,44.0
1.1,1784880119.08674,,,,,,,,,,0.1014,0.11421,0.32603,-0.00608,0.0044,-0.00364,-0.32603,-0.00364,44.0
1.12,1784880119.10674,,,,,,,,,,0.02576,0.06591,0.26274,-0.00435,-0.00067,-0.00264,-0.26274,-0.00264,44.0
1.14,1784880119.12674,,,,,,,,,,0.0393,-0.04665,0.21982,0.00651,-0.0003,-0.00499,-0.21982,-0.00499,44.0
1.16,1784880119.14674,,,,,,,,,,-0.00639,0.10617,0.24222,-0.00325,-0.00081,-0.00632,-0.24222,-0.00632,44.0
1.18,1784880119.16674,,,,,,,,,,0.15423,0.02327,0.35975,-0.00302,0.0074,-0.00146,-0.35975,-0.00146,44.0
1.2,1784880119.18674,,,,,,,,,,0.07033,-0.05882,0.34478,0.00417,0.00736,-0.00299,-0.34478,-0.00299,44.0
1.22,1784880119.20674,,,,,,,,,,0.21321,-0.1315,0.27734,0.01133,0.01289,-0.00515,-0.27734,-0.00515,44.0
1.24,1784880119.22674,,,,,,,,,,-0.00139,0.04658,0.27481,-0.00343,-0.00187,-0.00046,-0.27481,-0.00046,44.0
1.26,1784880119.24674,,,,,,,,,,-0.14993,0.20663,0.26572,-0.01574,-0.01501,-0.00199,-0.26572,-0.00199,44.0
1.28,1784880119.26674,,,,,,,,,,0.07907,0.03225,0.123,-0.00247,0.00479,-0.00248,-0.123,-0.00248,44.0
1.3,1784880119.28674,,,,,,,,,,-0.02984,0.05888,0.24457,-0.0012,-0.00603,-0.00415,-0.24457,-0.00415,44.0
1.32,1784880119.30674,,,,,,,,,,-0.3802,0.13353,0.133,-0.0032,-0.03324,-0.00532,-0.133,-0.00532,44.0
1.34,1784880119.32674,,,,,,,,,,0.17347,0.07614,0.31148,-0.00102,0.00304,-0.00297,-0.31148,-0.00297,44.0
1.36,1784880119.34674,,,,,,,,,,-0.25301,-0.01607,0.2905,0.0137,-0.02831,-0.00918,-0.2905,-0.00918,44.0
1.38,1784880119.36674,,,,,,,,,,0.33682,-0.00964,0.27693,0.00977,0.01843,-0.0063,-0.27693,-0.0063,44.0
1.4,1784880119.38674,,,,,,,,,,0.00131,0.09419,0.1452,-0.00241,-0.00194,-0.00381,-0.1452,-0.00381,44.0
1.42,1784880119.40674,,,,,,,,,,0.01077,-0.08475,0.24263,0.01639,-0.00546,-0.0085,-0.24263,-0.0085,44.0
1.44,1784880119.42674,,,,,,,,,,0.06732,0.03645,0.21722,0.00122,-0.00162,-0.00278,-0.21722,-0.00278,44.0
1.46,1784880119.44674,,,,,,,,,,0.3465,-0.04873,0.35155,0.00333,0.02246,-0.00148,-0.35155,-0.00148,44.0
1.48,1784880119.46674,,,,,,,,,,-0.29597,0.21148,0.29172,-0.01813,-0.02653,-0.00064,-0.29172,-0.00064,44.0
1.5,1784880119.48674,,,,,,,,,,-0.25826,0.0942,0.2361,-0.00077,-0.02358,-0.00634,-0.2361,-0.00634,44.0
1.52,1784880119.50674,,,,,,,,,,-0.10733,0.09408,0.18675,-0.00657,-0.01009,-0.00413,-0.18675,-0.00413,44.0
1.54,1784880119.52674,,,,,,,,,,0.14649,-0.03749,0.30581,0.00905,0.00458,-0.00683,-0.30581,-0.00683,44.0
1.56,1784880119.54674,,,,,,,,,,0.02747,-0.10792,0.28541,0.01498,-0.00218,-0.00832,-0.28541,-0.00832,44.0
1.58,1784880119.56674,,,,,,,,,,-0.2154,0.15811,0.17115,-0.0088,-0.02155,-0.0043,-0.17115,-0.0043,44.0
1.6,1784880119.58674,,,,,,,,,,-0.13933,0.02078,0.27948,0.01074,-0.0166,-0.01018,-0.27948,-0.01018,44.0
1.62,1784880119.60674,,,,,,,,,,0.56642,0.00536,0.37574,0.00375,0.03357,-0.00478,-0.37574,-0.00478,44.0
1.64,1784880119.62674,,,,,,,,,,0.11115,0.03471,0.13936,0.00482,0.0037,-0.00683,-0.13936,-0.00683,44.0
1.66,1784880119.64674,,,,,,,,,,-0.07045,0.0329,0.24459,0.00045,-0.00732,-0.00413,-0.24459,-0.00413,44.0
1.68,1784880119.66674,,,,,,,,,,0.33579,-0.08724,0.28464,0.01119,0.02048,-0.00264,-0.28464,-0.00264,44.0
1.7,1784880119.68674,,,,,,,,,,-0.0838,-0.0468,0.36192,0.01347,-0.01079,-0.00834,-0.36192,-0.00834,44.0
1.72,1784880119.70674,,,,,,,,,,0.68971,-0.15993,0.26111,0.01347,0.04814,-0.00278,-0.26111,-0.00278,44.0
1.74,1784880119.72674,,,,,,,,,,-0.01506,0.08508,0.23525,0.0051,-0.00676,-0.01069,-0.23525,-0.01069,44.0
1.76,1784880119.74674,,,,,,,,,,0.28149,-0.06074,0.18355,0.01686,0.01351,-0.00997,-0.18355,-0.00997,44.0
1.78,1784880119.76674,,,,,,,,,,0.64282,-0.12785,0.21461,0.01194,0.05267,-0.0053,-0.21461,-0.0053,44.0
1.8,1784880119.78674,,,,,,,,,,0.6411,-0.10327,0.24436,0.01131,0.04146,-0.00364,-0.24436,-0.00364,44.0
1.82,1784880119.80674,,,,,,,,,,-0.33277,0.12773,0.30635,-0.00276,-0.02976,-0.00432,-0.30635,-0.00432,44.0
1.84,1784880119.82674,,,,,,,,,,-0.51715,0.22432,0.09666,-0.01641,-0.04213,-0.00364,-0.09666,-0.00364,44.0
1.86,1784880119.84674,,,,,,,,,,0.31035,-0.17297,0.27454,0.01662,0.02331,-0.00599,-0.27454,-0.00599,44.0
1.88,1784880119.86674,,,,,,,,,,-0.02896,-0.06242,0.16696,0.00673,-0.0033,-0.00397,-0.16696,-0.00397,44.0
1.9,1784880119.88674,,,,,,,,,,0.1162,0.09093,0.28238,-0.00406,0.00577,-0.00264,-0.28238,-0.00264,44.0
1.92,1784880119.90674,,,,,,,,,,-0.22398,0.16298,0.12648,-0.00804,-0.01691,-0.00415,-0.12648,-0.00415,44.0
1.94,1784880119.92674,,,,,,,,,,0.18841,-0.05336,0.27555,0.00821,0.01151,-0.00615,-0.27555,-0.00615,44.0
1.96,1784880119.94674,,,,,,,,,,0.68186,-0.08066,0.39361,0.00729,0.04648,-0.00397,-0.39361,-0.00397,44.0
1.98,1784880119.96674,,,,,,,,,,0.18874,-0.08661,0.26231,0.00647,0.01186,-0.00432,-0.26231,-0.00432,44.0
2.0,1784880119.98674,,,,,,,,,,0.02394,-0.04488,0.23695,0.00647,0.00068,-0.00448,-0.23695,-0.00448,44.0
2.02,1784880120.00674,A1850_B1850,1,1850,1850,1850,1850,11.29531,0.0,0.0,0.43864,-0.19039,0.25936,0.01484,0.03016,-0.00364,-0.25936,-0.00364,44.0
2.04,1784880120.02674,A1850_B1850,1,1850,1850,1850,1850,11.29863,0.0,0.0,-0.0208,-0.07478,0.17322,0.00977,-0.00581,-0.00515,-0.17322,-0.00515,44.0
2.06,1784880120.04674,A1850_B1850,1,1850,1850,1850,1850,11.301,0.0,0.0,-0.14491,0.05403,0.15058,-0.00241,-0.01648,-0.00297,-0.15058,-0.00297,44.0
2.08,1784880120.06674,A1850_B1850,1,1850,1850,1850,1850,11.301,0.0,0.0,0.50427,0.10038,0.26593,-0.00537,0.03826,0.02095,-0.26593,0.02095,44.0
2.1,1784880120.08674,A1850_B1850,1,1850,1850,1850,1850,11.301,0.0,0.0,-0.23635,-0.29694,0.5246,0.03548,-0.0514,-0.09248,-0.5246,-0.09248,44.0
2.12,1784880120.10674,A1850_B1850,1,1850,1850,1850,1850,11.18336,3.60449,40.31031,0.23221,-0.75451,0.26681,0.04765,-0.00737,-0.13222,-0.26681,-0.13222,44.0
2.14,1784880120.12674,A1850_B1850,1,1850,1850,1850,1850,11.05963,7.3953,81.78931,0.53643,-0.30786,-0.07778,0.02587,0.03516,0.01181,0.07778,0.01181,44.0
2.16,1784880120.14674,A1850_B1850,1,1850,1850,1850,1850,10.988,9.59,105.37492,-0.02018,0.49491,-0.64892,-0.03628,0.00755,0.02964,0.64892,0.02964,44.0
2.18,1784880120.16674,A1850_B1850,1,1850,1850,1850,1850,10.988,9.59,105.37492,0.15239,0.0667,-1.11847,0.00268,0.00773,0.00492,1.11847,0.00492,44.0
2.2,1784880120.18674,A1850_B1850,1,1850,1850,1850,1850,10.988,9.59,105.37492,0.15327,-0.19739,-2.07916,-0.00594,-0.0052,-0.00115,2.07916,-0.00115,44.0
2.22,1784880120.20674,A1850_B1850,1,1850,1850,1850,1850,10.98907,9.51175,104.5253,-0.36632,0.20024,-2.02728,-0.00953,-0.02136,0.01107,2.02728,0.01107,44.0
2.24,1784880120.22674,A1850_B1850,1,1850,1850,1850,1850,10.99019,9.42928,103.6296,-0.00773,-0.21016,-2.47799,-0.002,-0.00807,-0.00322,2.47799,-0.00322,44.0
2.26,1784880120.24674,A1850_B1850,1,1850,1850,1850,1850,10.991,9.37,102.98567,0.18611,0.53215,-2.85308,-0.01643,0.01679,-0.02071,2.85308,-0.02071,44.0
2.28,1784880120.26674,A1850_B1850,1,1850,1850,1850,1850,10.991,9.37,102.98567,-0.8739,0.08636,-3.94094,-0.01116,-0.09362,-0.03269,3.94094,-0.03269,44.0
2.3,1784880120.28674,A1850_B1850,1,1850,1850,1850,1850,10.991,9.37,102.98567,-0.12544,0.22954,-4.76922,-0.03631,-0.00132,-0.02779,4.76922,-0.02779,44.0
2.32,1784880120.30674,A1850_B1850,1,1850,1850,1850,1850,10.87416,17.06293,185.54499,1.57373,-0.59979,-4.33153,0.01203,0.11978,-0.04071,4.33153,-0.04071,44.0
2.34,1784880120.32674,A1850_B1850,1,1850,1850,1850,1850,10.75065,25.19521,270.86474,0.72115,0.69313,-7.85527,0.0367,-0.02918,-0.06608,7.85527,-0.06608,44.0
2.36,1784880120.34674,A1850_B1850,1,1850,1850,1850,1850,10.664,30.9,329.5176,-1.08587,0.10909,-8.2571,-0.00321,-0.03854,-0.01776,8.2571,-0.01776,44.0
2.38,1784880120.36674,A1850_B1850,1,1850,1850,1850,1850,10.664,30.9,329.5176,-0.13333,0.24339,-9.51631,-0.08434,-0.05071,-0.04263,9.51631,-0.04263,44.0
2.4,1784880120.38674,A1850_B1850,1,1850,1850,1850,1850,10.66401,30.89979,329.51562,-0.09839,-0.3033,-10.68727,0.03453,-0.01547,-0.00596,10.68727,-0.00596,44.0
2.42,1784880120.40674,A1850_B1850,1,1850,1850,1850,1850,10.70839,29.6564,317.57217,-0.85335,0.06817,-11.77508,-0.00983,-0.054,0.00503,11.77508,0.00503,44.0
2.44,1784880120.42674,A1850_B1850,1,1850,1850,1850,1850,10.75277,28.413,305.51837,-0.71885,0.10418,-13.78513,-0.02018,-0.0454,-0.00871,13.78513,-0.00871,44.0
2.46,1784880120.44674,A1850_B1850,1,1850,1850,1850,1850,10.78,27.65,298.067,-0.14748,-0.02038,-13.38588,0.01478,0.02163,-0.00646,13.38588,-0.00646,44.0
2.48,1784880120.46674,A1850_B1850,1,1850,1850,1850,1850,10.78,27.65,298.067,-0.16952,-0.47924,-13.43506,0.03653,0.00558,-0.00297,13.43506,-0.00297,44.0
2.5,1784880120.48674,A1850_B1850,1,1850,1850,1850,1850,10.78,27.65,298.067,-0.29476,-0.60708,-13.72362,0.0311,-0.00834,-0.00248,13.72362,-0.00248,44.0
2.52,1784880120.50674,A1850_B1850,1,1850,1850,1850,1850,10.79765,26.89552,290.40848,-0.67435,-0.26057,-13.42343,0.00185,-0.02503,0.00087,13.42343,0.00087,44.0
2.54,1784880120.52674,A1850_B1850,1,1850,1850,1850,1850,10.81724,26.05811,281.8769,-0.81563,-0.3027,-12.71353,0.00819,-0.02713,0.00738,12.71353,0.00738,44.0
2.56,1784880120.54674,A1850_B1850,1,1850,1850,1850,1850,10.831,25.47,275.86557,0.2149,-0.56625,-13.64452,0.03558,0.04333,-0.0032,13.64452,-0.0032,44.0
2.58,1784880120.56674,A1850_B1850,1,1850,1850,1850,1850,10.831,25.47,275.86557,-0.33133,-0.20836,-14.17175,0.00114,-0.00155,0.00456,14.17175,0.00456,44.0
2.6,1784880120.58674,A1850_B1850,1,1850,1850,1850,1850,10.831,25.47,275.86557,-0.62981,-0.35368,-14.24863,0.01188,-0.02803,0.00317,14.24863,0.00317,44.0
2.62,1784880120.60674,A1850_B1850,1,1850,1850,1850,1850,10.81936,25.21528,272.81304,-0.41765,-0.28275,-13.59697,0.01212,-0.00586,-0.00166,13.59697,-0.00166,44.0
2.64,1784880120.62674,A1850_B1850,1,1850,1850,1850,1850,10.80638,24.93145,269.41876,-0.1027,-0.01687,-13.25349,-0.01447,0.01744,0.00338,13.25349,0.00338,44.0
2.66,1784880120.64674,A1850_B1850,1,1850,1850,1850,1850,10.799,24.77,267.49123,-0.61873,-0.58282,-14.11605,0.02901,-0.02332,-0.00217,14.11605,-0.00217,44.0
2.68,1784880120.66674,A1850_B1850,1,1850,1850,1850,1850,10.799,24.77,267.49123,-0.72281,0.14534,-13.7635,-0.01342,-0.05875,0.01158,13.7635,0.01158,44.0
2.7,1784880120.68674,A1850_B1850,1,1850,1850,1850,1850,10.799,24.77,267.49123,-0.85121,0.13235,-13.10808,-0.016,-0.04054,0.00866,13.10808,0.00866,44.0
2.72,1784880120.70674,A1850_B1850,1,1850,1850,1850,1850,10.79971,24.57104,265.36009,-0.11664,-0.64385,-13.30418,0.03987,0.0293,-1e-05,13.30418,-1e-05,44.0
2.74,1784880120.72674,A1850_B1850,1,1850,1850,1850,1850,10.80046,24.36166,263.11713,-0.44969,-0.32311,-14.15255,0.01365,-0.01488,-0.00901,14.15255,-0.00901,44.0
2.76,1784880120.74674,A1850_B1850,1,1850,1850,1850,1850,10.801,24.21,261.49221,-0.26148,-0.34286,-13.53817,0.02153,-0.01007,0.00124,13.53817,0.00124,44.0
2.78,1784880120.76674,A1850_B1850,1,1850,1850,1850,1850,10.801,24.21,261.49221,-0.71865,-0.09493,-13.72063,-0.00817,-0.04881,0.00185,13.72063,0.00185,44.0
2.8,1784880120.78674,A1850_B1850,1,1850,1850,1850,1850,10.801,24.21,261.49221,-0.20425,-0.04909,-14.19964,-0.01202,0.01835,-0.00015,14.19964,-0.00015,44.0
2.82,1784880120.80674,A1850_B1850,1,1850,1850,1850,1850,10.80284,24.02956,259.58757,0.46364,0.25254,-13.11299,-0.04584,0.08994,0.00036,13.11299,0.00036,44.0
2.84,1784880120.82674,A1850_B1850,1,1850,1850,1850,1850,10.80479,23.83841,257.56909,0.15207,-0.04322,-13.67957,-0.0224,0.02571,-0.01036,13.67957,-0.01036,44.0
2.86,1784880120.84674,A1850_B1850,1,1850,1850,1850,1850,10.806,23.72,256.31832,-0.46425,-0.51325,-13.56075,0.0295,-0.03081,-0.00997,13.56075,-0.00997,44.0
2.88,1784880120.86674,A1850_B1850,1,1850,1850,1850,1850,10.806,23.72,256.31832,-0.47059,-0.76212,-12.76595,0.04516,-0.01805,0.00224,12.76595,0.00224,44.0
2.9,1784880120.88674,A1850_B1850,1,1850,1850,1850,1850,10.806,23.72,256.31832,-0.6649,0.30589,-13.76454,-0.03387,-0.01564,0.01038,13.76454,0.01038,44.0
2.92,1784880120.90674,A1850_B1850,1,1850,1850,1850,1850,10.78524,23.63259,254.88321,-0.10564,-0.10536,-13.44679,-0.00601,0.03508,0.01319,13.44679,0.01319,44.0
2.94,1784880120.92674,A1850_B1850,1,1850,1850,1850,1850,10.76427,23.54431,253.43739,-0.55755,-0.44163,-13.25521,0.01251,-0.02359,0.01352,13.25521,0.01352,44.0
2.96,1784880120.94674,A1850_B1850,1,1850,1850,1850,1850,10.749,23.48,252.38652,-0.79486,-0.3629,-13.39907,0.00192,-0.05036,0.00431,13.39907,0.00431,44.0
2.98,1784880120.96674,A1850_B1850,1,1850,1850,1850,1850,10.749,23.48,252.38652,-0.86636,-0.27162,-12.83959,0.00282,-0.04544,-0.0025,12.83959,-0.0025,44.0
3.0,1784880120.98674,A1850_B1850,1,1850,1850,1850,1850,10.749,23.48,252.38652,-1.47719,0.35249,-13.9989,-0.02498,-0.08749,-0.00432,13.9989,-0.00432,44.0
3.02,1784880121.00674,A1850_B1850,1,1850,1850,1850,1850,10.75773,23.37456,251.45707,-1.11918,-0.25561,-13.55199,0.02637,-0.05245,0.00975,13.55199,0.00975,44.0
3.04,1784880121.02674,A1850_B1850,1,1850,1850,1850,1850,10.76748,23.25666,250.41573,-0.86834,-0.71372,-13.27665,0.04082,-0.06154,-3e-05,13.27665,-3e-05,44.0
3.06,1784880121.04674,A1850_B1850,1,1850,1850,1850,1850,10.773,23.19,249.82587,-0.48352,-0.20217,-12.62177,0.00046,-0.01894,-0.0142,12.62177,-0.0142,44.0
3.08,1784880121.06674,A1850_B1850,1,1850,1850,1850,1850,10.773,23.19,249.82587,-0.35927,-0.23517,-13.52202,0.00419,-0.00579,-0.00309,13.52202,-0.00309,44.0
3.1,1784880121.08674,A1850_B1850,1,1850,1850,1850,1850,10.773,23.19,249.82587,-0.44641,-0.32951,-13.79002,0.01902,-0.02589,-0.00885,13.79002,-0.00885,44.0
3.12,1784880121.10674,A1850_B1850,1,1850,1850,1850,1850,10.76865,23.12114,248.98346,-1.1266,-0.21353,-14.1942,0.01143,-0.07181,0.00207,14.1942,0.00207,44.0
3.14,1784880121.12674,A1850_B1850,1,1850,1850,1850,1850,10.76381,23.04449,248.04648,-0.1492,-0.74573,-11.82014,0.05131,0.01292,0.00117,11.82014,0.00117,44.0
3.16,1784880121.14674,A1850_B1850,1,1850,1850,1850,1850,10.761,23.0,247.503,-0.29501,0.02428,-13.41274,-0.00831,0.00341,0.00387,13.41274,0.00387,44.0
3.18,1784880121.16674,A1850_B1850,1,1850,1850,1850,1850,10.761,23.0,247.503,-0.80484,-0.23621,-13.46744,0.00943,-0.03963,0.00117,13.46744,0.00117,44.0
3.2,1784880121.18674,A1850_B1850,1,1850,1850,1850,1850,10.761,23.0,247.503,-0.51811,-0.58818,-13.96426,0.02802,-0.03107,-0.00952,13.96426,-0.00952,44.0
3.22,1784880121.20674,A1850_B1850,1,1850,1850,1850,1850,10.78175,23.05274,248.54878,-0.49487,-0.03789,-12.14552,-0.01388,-0.00789,0.00526,12.14552,0.00526,44.0
3.24,1784880121.22674,A1850_B1850,1,1850,1850,1850,1850,10.80376,23.10871,249.66092,-1.07103,-0.20743,-12.97276,0.00676,-0.06422,0.00434,12.97276,0.00434,44.0
3.26,1784880121.24674,A1850_B1850,1,1850,1850,1850,1850,10.82,23.15,250.483,-0.26936,-0.28348,-13.5982,0.02251,-0.00066,0.00017,13.5982,0.00017,44.0
3.28,1784880121.26674,A1850_B1850,1,1850,1850,1850,1850,10.82,23.15,250.483,0.07921,-0.70832,-14.01834,0.03702,0.02826,-0.00048,14.01834,-0.00048,44.0
3.3,1784880121.28674,A1850_B1850,1,1850,1850,1850,1850,10.82,23.15001,250.48307,0.12338,-0.48161,-11.91551,0.01688,0.04191,-0.00717,11.91551,-0.00717,44.0
3.32,1784880121.30674,A1850_B1850,1,1850,1850,1850,1850,10.81013,23.20693,250.86995,-0.7925,-0.11512,-13.52589,-0.01515,-0.05053,-0.00764,13.52589,-0.00764,44.0
3.34,1784880121.32674,A1850_B1850,1,1850,1850,1850,1850,10.80027,23.26384,251.25572,-0.333,-0.18762,-13.95085,0.01043,-0.03299,0.00173,13.95085,0.00173,44.0
3.36,1784880121.34674,A1850_B1850,1,1850,1850,1850,1850,10.794,23.3,251.5002,0.48607,-0.00587,-14.0677,-0.00863,0.06524,-0.00401,14.0677,-0.00401,44.0
3.38,1784880121.36674,A1850_B1850,1,1850,1850,1850,1850,10.794,23.3,251.5002,-0.50905,-0.71771,-11.98897,0.03752,-0.00986,0.00289,11.98897,0.00289,44.0
3.4,1784880121.38674,A1850_B1850,1,1850,1850,1850,1850,10.79399,23.29996,251.49955,-0.35962,-0.57318,-13.29406,0.04663,-0.01542,-0.0005,13.29406,-0.0005,44.0
3.42,1784880121.40674,A1850_B1850,1,1850,1850,1850,1850,10.76455,23.18221,249.54618,-0.01302,-0.16159,-13.78572,0.01049,0.00544,-0.00399,13.78572,-0.00399,44.0
